epoch,timestamp,train_loss,val_loss,val_iou,val_dice,learning_rate,is_best,best_val_iou_so_far,early_stop_counter,epoch_duration_sec
1,2026-02-27_2346,1.201276,1.191239,0.40742,0.50749,1.00e-04,True,0.40742,0,13155.3
2,2026-02-28_0332,1.005913,0.972109,0.468765,0.567197,1.00e-04,True,0.468765,0,13513.4
3,2026-02-28_0704,0.93108,0.978159,0.457562,0.55622,1.00e-04,False,0.468765,1,12751.4
4,2026-02-28_1032,0.872164,1.042728,0.43112,0.531934,1.00e-04,False,0.468765,2,12450.3
5,2026-02-28_1250,0.830808,0.891397,0.499211,0.59183,1.00e-04,True,0.499211,0,8320.1
6,2026-02-28_1539,0.812959,0.885913,0.492438,0.588699,1.00e-04,False,0.499211,1,10130.7
7,2026-02-28_1730,0.776779,0.856235,0.512871,0.607234,1.00e-04,True,0.512871,0,6653.4
8,2026-02-28_1928,0.762335,0.896176,0.503544,0.595504,1.00e-04,False,0.512871,1,7090.7
9,2026-02-28_2125,0.748803,0.882396,0.502872,0.598166,1.00e-04,False,0.512871,2,6975.8
10,2026-02-28_2328,0.729598,0.857102,0.512767,0.604695,1.00e-04,False,0.512871,3,7402.5
11,2026-03-01_0153,0.692443,0.887886,0.503021,0.599052,1.00e-04,False,0.512871,4,8685.9
